nom,rfc,dit,noc,cbo,folder_name
3.0000,3.0000,0.0000,2.0000,0.0000,Gadgetbridge
10.0000,10.0000,0.0000,1.0000,0.0000,Gadgetbridge
18.0000,21.0000,2.0000,0.0000,1.0000,Gadgetbridge
10.0000,11.0000,1.0000,0.0000,1.0000,Gadgetbridge
3.0000,7.0000,3.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
35.0000,88.0000,2.0000,2.0000,7.0000,Gadgetbridge
13.0000,41.0000,2.0000,0.0000,4.0000,Gadgetbridge
3.0000,7.0000,3.0000,0.0000,2.0000,Gadgetbridge
31.0000,73.0000,2.0000,4.0000,7.0000,Gadgetbridge
10.0000,21.0000,1.0000,3.0000,1.0000,Gadgetbridge
1.0000,18.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,9.0000,3.0000,0.0000,2.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,2.0000,Gadgetbridge
4.0000,4.0000,2.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,9.0000,3.0000,0.0000,2.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,2.0000,Gadgetbridge
4.0000,4.0000,2.0000,0.0000,0.0000,Gadgetbridge
4.0000,13.0000,3.0000,0.0000,5.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,2.0000,Gadgetbridge
8.0000,32.0000,2.0000,0.0000,8.0000,Gadgetbridge
5.0000,13.0000,3.0000,0.0000,3.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
19.0000,25.0000,2.0000,0.0000,4.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
17.0000,21.0000,2.0000,0.0000,2.0000,Gadgetbridge
14.0000,24.0000,0.0000,2.0000,1.0000,Gadgetbridge
10.0000,46.0000,1.0000,4.0000,5.0000,Gadgetbridge
7.0000,9.0000,2.0000,2.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,38.0000,3.0000,0.0000,2.0000,Gadgetbridge
1.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,0.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
28.0000,66.0000,2.0000,0.0000,9.0000,Gadgetbridge
4.0000,6.0000,0.0000,0.0000,0.0000,Gadgetbridge
11.0000,30.0000,1.0000,0.0000,2.0000,Gadgetbridge
3.0000,5.0000,2.0000,0.0000,2.0000,Gadgetbridge
12.0000,63.0000,2.0000,0.0000,9.0000,Gadgetbridge
6.0000,22.0000,3.0000,0.0000,8.0000,Gadgetbridge
3.0000,23.0000,3.0000,0.0000,1.0000,Gadgetbridge
1.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,35.0000,0.0000,0.0000,2.0000,Gadgetbridge
7.0000,23.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
19.0000,25.0000,2.0000,0.0000,4.0000,Gadgetbridge
9.0000,12.0000,2.0000,0.0000,1.0000,Gadgetbridge
4.0000,42.0000,1.0000,0.0000,6.0000,Gadgetbridge
14.0000,54.0000,0.0000,0.0000,4.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
18.0000,28.0000,2.0000,0.0000,6.0000,Gadgetbridge
10.0000,33.0000,2.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,13.0000,0.0000,0.0000,0.0000,Gadgetbridge
9.0000,11.0000,2.0000,0.0000,1.0000,Gadgetbridge
9.0000,11.0000,2.0000,0.0000,1.0000,Gadgetbridge
9.0000,54.0000,2.0000,0.0000,9.0000,Gadgetbridge
5.0000,18.0000,0.0000,0.0000,0.0000,Gadgetbridge
17.0000,21.0000,2.0000,0.0000,2.0000,Gadgetbridge
18.0000,39.0000,2.0000,4.0000,3.0000,Gadgetbridge
3.0000,4.0000,3.0000,0.0000,0.0000,Gadgetbridge
5.0000,17.0000,3.0000,0.0000,1.0000,Gadgetbridge
1.0000,5.0000,3.0000,0.0000,2.0000,Gadgetbridge
4.0000,19.0000,1.0000,0.0000,4.0000,Gadgetbridge
2.0000,16.0000,1.0000,0.0000,4.0000,Gadgetbridge
1.0000,5.0000,1.0000,0.0000,3.0000,Gadgetbridge
2.0000,10.0000,1.0000,0.0000,5.0000,Gadgetbridge
2.0000,7.0000,1.0000,0.0000,3.0000,Gadgetbridge
1.0000,7.0000,1.0000,0.0000,4.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,44.0000,1.0000,0.0000,7.0000,Gadgetbridge
4.0000,8.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,22.0000,1.0000,0.0000,4.0000,Gadgetbridge
12.0000,78.0000,1.0000,0.0000,9.0000,Gadgetbridge
1.0000,12.0000,1.0000,0.0000,5.0000,Gadgetbridge
2.0000,16.0000,1.0000,0.0000,4.0000,Gadgetbridge
1.0000,9.0000,1.0000,0.0000,5.0000,Gadgetbridge
1.0000,5.0000,1.0000,0.0000,3.0000,Gadgetbridge
1.0000,1.0000,2.0000,0.0000,0.0000,Gadgetbridge
1.0000,26.0000,1.0000,0.0000,5.0000,Gadgetbridge
26.0000,74.0000,2.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
50.0000,164.0000,1.0000,0.0000,3.0000,Gadgetbridge
12.0000,37.0000,0.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
16.0000,46.0000,1.0000,0.0000,0.0000,Gadgetbridge
41.0000,263.0000,2.0000,1.0000,10.0000,Gadgetbridge
4.0000,8.0000,1.0000,0.0000,0.0000,Gadgetbridge
9.0000,20.0000,0.0000,0.0000,1.0000,Gadgetbridge
4.0000,11.0000,0.0000,0.0000,1.0000,Gadgetbridge
1.0000,6.0000,0.0000,0.0000,1.0000,Gadgetbridge
8.0000,8.0000,1.0000,1.0000,0.0000,Gadgetbridge
11.0000,46.0000,0.0000,0.0000,1.0000,Gadgetbridge
8.0000,8.0000,1.0000,1.0000,0.0000,Gadgetbridge
2.0000,38.0000,1.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
15.0000,53.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,9.0000,0.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
7.0000,7.0000,1.0000,1.0000,0.0000,Gadgetbridge
6.0000,7.0000,0.0000,0.0000,0.0000,Gadgetbridge
14.0000,31.0000,2.0000,0.0000,1.0000,Gadgetbridge
4.0000,4.0000,1.0000,1.0000,0.0000,Gadgetbridge
5.0000,14.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,24.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,19.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
3.0000,3.0000,0.0000,0.0000,0.0000,Gadgetbridge
